Car_ID,Model,Production_Date,Color,Price
1,Model X,2022-02-20,WHITE,137915.94
2,Model X,2022-12-24,WHITE,96157.48
3,Model 3,2023-04-07,BLACK,47392.77
4,Model S,2021-10-14,GREY,129256.36
5,Model Y,2022-10-07,WHITE,57395.39
6,Model X,2023-03-23,SILVER,132994.1
7,Model 3,2021-08-26,WHITE,46263.48
8,Model S,2023-05-12,SILVER,83609.26
9,Model X,2022-05-17,BLACK,97719.87
10,Model 3,2023-03-01,SILVER,42443.65
11,Model Y,2022-07-15,SILVER,60761.27
12,Model S,2023-04-04,BLACK,95177.84
13,Model Y,2022-03-24,RED,53028.1
14,Model Y,2022-07-13,GREY,57036.08
15,Model X,2023-02-24,WHITE,102898.18
16,Model 3,2022-06-30,BLACK,44645.15
17,Model Y,2022-12-01,WHITE,59118.96
18,Model S,2023-07-04,GREY,131726.22
19,Model Y,2023-05-19,WHITE,55375.55
20,Model X,2022-10-21,GREY,103005.72
21,Model X,2023-01-06,BLACK,133000.24
22,Model S,2022-01-25,GREY,130478.32
23,Model S,2022-09-21,SILVER,124623.77
24,Model X,2022-04-02,SILVER,132398.4
25,Model S,2023-01-10,BLACK,114963.84
26,Model 3,2021-08-22,SILVER,48679.45
27,Model 3,2021-11-21,RED,49404.96
28,Model 3,2022-05-19,RED,42339.56
29,Model X,2022-01-20,BLACK,112404.88
30,Model X,2022-04-13,GREY,123749.51
31,Model S,2023-04-21,BLACK,99251.58
32,Model S,2021-10-28,BLACK,91108.76
33,Model S,2021-07-23,SILVER,97188.12
34,Model 3,2023-01-03,BLACK,56289.28
35,Model Y,2022-08-18,RED,54269.77
36,Model 3,2021-11-03,BLACK,41399.27
37,Model 3,2022-02-27,GREY,54578.52
38,Model X,2022-09-05,WHITE,133354.55
39,Model X,2023-05-03,WHITE,124501.94
40,Model X,2023-04-12,GREY,127757.18
41,Model S,2021-10-14,BLACK,137247.72
42,Model Y,2023-01-01,WHITE,56123.04
43,Model S,2022-01-14,RED,123146.44
44,Model S,2021-08-17,GREY,108620.04
45,Model X,2022-07-01,GREY,145436.13
46,Model 3,2023-02-26,BLACK,42012.26
47,Model X,2023-02-22,WHITE,122272.33
48,Model 3,2023-04-16,SILVER,54602.2
49,Model 3,2022-06-18,SILVER,42392.24
50,Model 3,2023-03-09,WHITE,46362.3
51,Model X,2023-01-14,SILVER,133770.64
52,Model X,2022-07-09,SILVER,127141.34
53,Model 3,2022-05-02,GREY,48440.88
54,Model 3,2023-04-30,WHITE,52713.02
55,Model X,2023-02-16,SILVER,123845.56
56,Model Y,2022-08-06,WHITE,57647.13
57,Model X,2023-05-06,GREY,124933.99
58,Model X,2022-09-25,GREY,101383.28
59,Model 3,2023-06-18,GREY,46634.38
60,Model S,2022-08-31,BLACK,139756.78
61,Model Y,2021-07-25,SILVER,53006.54
62,Model Y,2021-12-22,GREY,59613.74
63,Model X,2023-02-04,WHITE,142738.3
64,Model S,2022-03-13,WHITE,105564.66
65,Model 3,2023-04-06,SILVER,46450.4
66,Model S,2023-04-29,BLACK,111136.35
67,Model Y,2022-11-07,WHITE,58536.05
68,Model S,2022-07-25,BLACK,126927.49
69,Model 3,2022-08-29,RED,54241.87
70,Model Y,2023-02-08,GREY,59519.71
71,Model 3,2022-01-06,GREY,50191.54
72,Model Y,2022-07-28,RED,60671.87
73,Model X,2022-01-08,GREY,113279.69
74,Model S,2023-05-01,SILVER,117181.75
75,Model 3,2022-07-14,RED,43234.78
76,Model Y,2022-08-28,RED,52416.08
77,Model 3,2023-06-30,RED,55382.63
78,Model X,2022-11-22,RED,133376.49
79,Model X,2023-01-19,WHITE,145814.85
80,Model 3,2023-03-12,BLACK,51051.6
81,Model 3,2021-10-26,SILVER,50325.69
82,Model X,2023-07-02,WHITE,142336.0
83,Model Y,2021-12-20,WHITE,52742.59
84,Model Y,2023-05-12,GREY,50609.13
85,Model 3,2021-12-19,GREY,51509.16
86,Model S,2022-05-21,BLACK,135868.06
87,Model X,2022-03-15,GREY,141823.61
88,Model 3,2023-05-23,GREY,48020.33
89,Model S,2023-05-10,BLACK,87269.07
90,Model S,2022-08-09,BLACK,99946.45
91,Model 3,2023-06-15,SILVER,47848.57
92,Model X,2021-12-03,WHITE,91475.48
93,Model 3,2022-02-16,RED,54441.48
94,Model Y,2021-07-22,BLACK,53382.35
95,Model 3,2023-05-05,RED,53143.46
96,Model S,2022-08-22,RED,96754.13
97,Model X,2023-03-19,BLACK,136503.84
98,Model Y,2022-07-07,RED,54011.03
99,Model X,2023-02-24,SILVER,105361.21
100,Model X,2022-07-19,RED,90897.67
101,Model X,2022-09-12,RED,102809.4
102,Model Y,2021-11-01,WHITE,58386.98
